"pwsid","detection_share"
"PA2520458",NA
"PA2520866",NA
"PA2520884",NA
"PA2520894",NA
"PA2520952",NA
"PA2520986",NA
"PA2520988",NA
"PA2521052",NA
"PA2570003",NA
"PA2580369",NA
"PA2580902",NA
"PA2640014",NA
"PA2640018",NA
"PA2640028",NA
"PA2640049",NA
"PA2640485",NA
"PA2640513",NA
"PA2640817",NA
"PA2640921",NA
"PA2660011",NA
"PA2660027",NA
"PA2660033",NA
"PA2660334",NA
"PA2660340",NA
"PA2660363",NA
"PA2660380",NA
"PA2660386",NA
"PA3060004",NA
"PA3060012",NA
"PA3060016",NA
"PA3060018",NA
"PA3060037",NA
"PA3060038",NA
"PA3060041",NA
"PA3060042",NA
"PA3060043",NA
"PA3060052",NA
"PA3060058",NA
"PA3060059",NA
"PA3060066",NA
"PA3060067",NA
"PA3060069",NA
"PA3060078",NA
"PA3060081",NA
"PA3060082",NA
"PA3060083",NA
"PA3060088",NA
"PA3060098",NA
"PA6370300",NA
"PA6370303",NA
"PA6370859",NA
"PA6370910",NA
"PA6420014",NA
"PA6420020",NA
"PA6420025",NA
"PA6420365",NA
"PA6420381",NA
"PA6420803",NA
"PA6430003",NA
"PA6430040",NA
"PA6430301",NA
"PA6430807",NA
"PA6430957",NA
"PA6530013",NA
"PA6610023",NA
"PA6610308",NA
"PA6610852",NA
"PA6620031",NA
"PA6620032",NA
"PA6620319",NA
"PA3540886",NA
"PA3540946",NA
"PA4050007",NA
"PA4050009",NA
"PA4050353",NA
"PA4050394",NA
"PA4050484",NA
"PA4070009",NA
"PA4070012",NA
"PA4070016",NA
"PA4070017",NA
"PA4070023",NA
"PA4070034",NA
"PA4070047",NA
"PA4070297",NA
"PA4070348",NA
"PA4110003",NA
"PA4110009",NA
"PA4110021",NA
"PA4110027",NA
"PA4110046",NA
"PA4110076",NA
"PA4110077",NA
"PA4110357",NA
"PA4140077",NA
"PA4140095",NA
"PA4140096",NA
"PA4140809",NA
"PA4190008",NA
"PA4190286",NA
"PA4290346",NA
"PA4290830",NA
"PA4310016",NA
"PA4310308",NA
"PA4310872",NA
"PA4310874",NA
"PA4340008",NA
"PA4340810",NA
"PA4410843",NA
"PA4410968",NA
"PA4470007",NA
"PA4490023",NA
"PA4490803",NA
"PA4550304",NA
"PA4560001",NA
"PA4560028",NA
"PA4560029",NA
"PA4560030",NA
"PA4560327",NA
"PA4560383",NA
"PA4560389",NA
"PA4600015",NA
"PA4600834",NA
"PA5020010",NA
"PA5020017",NA
"PA5020034",NA
"PA5020039",NA
"PA5020052",NA
"PA5020108",NA
"PA5020803",NA
"PA5030002",NA
"PA5030006",NA
"PA5030019",NA
"PA5030026",NA
"PA5040842",NA
"PA5100033",NA
"PA5100045",NA
"PA5100079",NA
"PA5100121",NA
"PA5100141",NA
"PA5101001",NA
"PA5260011",NA
"PA5260017",NA
"PA5260019",NA
"PA5260022",NA
"PA5260032",NA
"PA5260036",NA
"PA5300018",NA
"PA5320016",NA
"PA5320034",NA
"PA5320109",NA
"PA5320348",NA
"PA5320394",NA
"PA5320401",NA
"PA5630030",NA
"PA5630039",NA
"PA5630045",NA
"PA5630068",NA
"PA5650032",NA
"PA5650060",NA
"PA5650068",NA
"PA5650351",NA
"PA5650831",NA
"PA6160847",NA
"PA6170018",NA
"PA6170021",NA
"PA6200010",NA
"PA6200019",NA
"PA6200028",NA
"PA6200036",NA
"PA6200039",NA
"PA6200040",NA
"PA6200043",NA
"PA6200046",NA
"PA6200051",NA
"PA6200065",NA
"PA6200071",NA
"PA6200073",NA
"PA6200074",NA
"PA6200079",NA
"PA6200309",NA
"PA6200315",NA
"PA6200804",NA
"PA6201072",NA
"PA6240324",NA
"PA6250012",NA
"PA6250014",NA
"PA6250020",NA
"PA6250028",NA
"PA6250035",NA
"PA6250039",NA
"PA6250040",NA
"PA6250049",NA
"PA6250053",NA
"PA6250056",NA
"PA6250064",NA
"PA6250065",NA
"PA6250075",NA
"PA6250076",NA
"PA6250096",NA
"PA6250311",NA
"PA6250358",NA
"PA6250394",NA
"PA6250807",NA
"PA6270835",NA
"PA6370011",NA
"PA6620414",NA
"PA7010019",NA
"PA7010316",NA
"PA7010368",NA
"PA7010855",NA
"PA7210029",NA
"PA7210034",NA
"PA7210043",NA
"PA7210050",NA
"PA7210317",NA
"PA7210801",NA
"PA7210808",NA
"PA7220015",NA
"PA7220040",NA
"PA7220044",NA
"PA7220049",NA
"PA7220301",NA
"PA7220809",NA
"PA7220870",NA
"PA7280005",NA
