"","PWSID","VIOLATION_CATEGORY_CODE","VIOLATION_STATUS","diff_days","total_violations"
"22078","LA1103110","TT","Unaddressed",2852,18
"22079","NH1858130","TT","Unaddressed",1832,9
"22080","MI2001971","TT","Unaddressed",827,1
"22081","083090024","MCL","Resolved",30,2
"22082","083090055","MCL","Resolved",30,2
"22083","105300086","TT","Resolved",2814,5
"22084","AK2121474","TT","Resolved",2623,7
"22085","AK2133333","TT","Resolved",2591,2
"22086","AK2224646","TT","Resolved",2958,1
"22087","AK2240286","TT","Resolved",2238,1
"22088","AK2262705","TT","Resolved",1540,2
"22089","AK2270273","TT","Resolved",1295,1
"22090","AK2298608","TT","Resolved",2273,112
"22091","AK2300191","TT","Resolved",2713,1
"22092","AL0000503","MCL","Resolved",30,1
"22093","AZ0403008","MCL","Resolved",91,1
"22094","CA1000607","MCL","Resolved",91,2
"22095","CA1210315","TT","Resolved",30,2
"22096","CA1310013","TT","Resolved",761,34
"22097","CA1900571","MCL","Resolved",30,2
"22098","CA2900599","MCL","Resolved",30,4
"22099","CA3400380","MCL","Resolved",30,2
"22100","CA3810005","TT","Resolved",340,2
"22101","CA4400801","TT","Addressed",2197,3
"22102","CA5000454","MCL","Archived",91,1
"22103","CO0115716","TT","Resolved",1495,4
"22104","CO0255510","TT","Resolved",726,4
"22105","CO0333200","TT","Resolved",2623,12
"22106","CT0121023","TT","Resolved",2410,3
"22107","CT0790174","TT","Resolved",2344,4
"22108","CT1179123","TT","Unaddressed",2273,6
"22109","CT1179144","MCL","Resolved",91,4
"22110","GA0510215","MCL","Archived",91,2
"22111","IA1449053","MCL","Resolved",364,11
"22112","IA4910404","TT","Resolved",2227,13
"22113","ID1280157","MCL","Archived",29,1
"22114","ID5070011","MCL","Resolved",30,5
"22115","ID5340026","MCL","Resolved",90,13
"22116","ID7100077","TT","Resolved",1672,4
"22117","IL0690160","TT","Resolved",27,6
"22118","IL1170060","TT","Resolved",90,20
"22119","IL3112953","TT","Resolved",736,3
"22120","IL3153551","TT","Resolved",736,4
"22121","IL3155127","MCL","Archived",29,1
"22122","IN2120844","TT","Resolved",1322,4
"22123","IN2120847","TT","Resolved",1874,7
"22124","IN2370041","MCL","Resolved",30,5
"22125","IN2430987","TT","Resolved",1854,9
"22126","IN2431121","MCL","Resolved",29,5
"22127","IN2450008","TT","Resolved",1162,10
"22128","IN2450036","TT","Resolved",2408,10
"22129","IN2710164","TT","Resolved",623,3
"22130","KS2000301","MCL","Resolved",90,4
"22131","KS2008511","MCL","Resolved",30,5
"22132","KS2013310","MCL","Resolved",91,8
"22133","KS2019112","TT","Unaddressed",265,6
"22134","LA1009005","TT","Unaddressed",187,120
"22135","LA1019001","TT","Resolved",1290,23
"22136","LA1055013","TT","Unaddressed",1638,3
"22137","LA1113001","MCL","Resolved",91,16
"22138","MA1022001","TT","Addressed",2470,14
"22139","MA1339000","TT","Resolved",1722,2
"22140","MA1340000","MCL","Archived",29,1
"22141","MA2054070","TT","Resolved",1483,4
"22142","MD0220218","TT","Resolved",2653,2
"22143","MD1081114","MCL","Resolved",30,5
"22144","MD1121126","TT","Resolved",3019,23
"22145","ME0005015","TT","Resolved",1496,10
"22146","ME0095006","TT","Resolved",2288,13
"22147","ME0095630","MCL","Resolved",29,4
"22148","MI0007285","TT","Resolved",2288,7
"22149","MI2018751","TT","Resolved",2013,1
"22150","MI2021519","MCL","Resolved",90,4
"22151","MI2031075","MCL","Resolved",91,10
"22152","MI2081547","MCL","Resolved",29,6
"22153","MI2149163","MCL","Resolved",89,10
"22154","MI2240563","MCL","Resolved",29,5
"22155","MN5030259","MCL","Resolved",29,6
"22156","MN5480212","MCL","Resolved",29,6
"22157","MN5490080","MCL","Resolved",30,8
"22158","MN5550052","MCL","Resolved",30,6
"22159","MN5690503","MCL","Resolved",29,6
"22160","MO1010342","TT","Resolved",91,4
"22161","MO3241749","TT","Resolved",2461,12
"22162","MO5202810","TT","Resolved",2138,8
"22163","MT0003998","TT","Resolved",2043,3
"22164","MT0004030","MCL","Resolved",30,4
"22165","MT0004777","TT","Resolved",1816,6
"22166","MT0041439","MCL","Unaddressed",29,2
"22167","MT0043957","MCL","Resolved",29,4
"22168","NC0332432","TT","Resolved",2288,5
"22169","NC1011012","MCL","Resolved",90,5
"22170","NC2060058","MCL","Resolved",91,5
"22171","NE3112502","MCL","Resolved",30,4
"22172","NH0445010","MCL","Resolved",30,4
"22173","NH0821020","MCL","Resolved",90,4
"22174","NH2002020","TT","Resolved",1862,46
"22175","NH2037060","TT","Resolved",1893,4
"22176","NJ0112331","TT","Resolved",1543,6
"22177","NJ0505342","TT","Resolved",1923,4
"22178","NJ1006355","TT","Resolved",1192,3
"22179","NJ1225300","MCL","Resolved",30,4
"22180","NJ1413302","TT","Resolved",2408,8
"22181","NJ1435330","MCL","Resolved",30,10
"22182","NJ1808342","TT","Resolved",2488,13
"22183","NJ1912329","TT","Resolved",1188,7
"22184","NJ2113320","MCL","Resolved",30,8
"22185","NM3500719","TT","Resolved",2015,9
"22186","NM3592121","TT","Resolved",1630,5
"22187","NN3500266","MCL","Resolved",30,3
"22188","NV0000709","TT","Resolved",1801,3
"22189","NY0100201","MCL","Resolved",90,2
"22190","NY0711770","MCL","Resolved",91,5
"22191","NY3503600","TT","Resolved",1009,5
"22192","NY3509640","TT","Resolved",29,4
"22193","NY4404397","MCL","Resolved",90,10
"22194","OH2330012","MCL","Resolved",29,5
"22195","OH4547212","TT","Resolved",1688,3
"22196","OH8400712","TT","Resolved",3019,12
"22197","OH8500412","MCL","Resolved",30,10
"22198","OK2001902","MCL","Resolved",30,3
"22199","OR4100688","TT","Resolved",857,3
"22200","OR4101415","MCL","Resolved",29,3
"22201","OR4193941","TT","Resolved",535,2
"22202","PA1460025","TT","Resolved",30,5
"22203","PA2350002","TT","Resolved",30,4
"22204","PA2640036","MCL","Resolved",90,8
"22205","PA2640464","TT","Resolved",2462,7
"22206","PA3130815","TT","Resolved",2632,11
"22207","PA4050024","TT","Resolved",28,2
"22208","PA4050920","TT","Resolved",1083,8
"22209","PA4410179","TT","Resolved",2104,5
"22210","PA4470012","TT","Resolved",710,4
"22211","PA5040301","TT","Resolved",29,3
"22212","PA5320016","TT","Resolved",29,6
"22213","PA6200904","TT","Resolved",2304,6
"22214","PA6370823","TT","Resolved",1732,4
"22215","PA6610311","TT","Resolved",462,5
"22216","PA7360101","TT","Resolved",30,8
"22217","PA7361063","MCL","Resolved",90,3
"22218","PR0003012","MCL","Resolved",91,3
"22219","RI2980174","TT","Resolved",1558,5
"22220","SC2320004","MCL","Resolved",30,9
"22221","SD4600349","TT","Resolved",2653,6
"22222","SD4600408","TT","Resolved",1192,2
"22223","SD4600549","TT","Resolved",2958,2
"22224","TN0000405","MCL","Resolved",91,8
"22225","TX0670005","MCL","Resolved",30,6
"22226","TX1010886","MCL","Resolved",29,4
"22227","TX1810127","TT","Resolved",684,4
"22228","TX1840187","MCL","Resolved",90,3
"22229","UTAH14066","MCL","Resolved",29,3
"22230","UTAH21036","TT","Resolved",2257,3
"22231","VA2069343","TT","Resolved",2154,3
"22232","VA2165525","MCL","Resolved",30,4
"22233","VT0004481","MCL","Resolved",30,6
