pwsid,total_samples,detection_share,concentration_avg,concentration_max,pfas_count
MA2147013,24,0,0,0,0
MA2151000,749,.54739654,18.10817033052444,62.60000002384186,7
MA2151001,56,0,0,0,0
MA2151002,95,.18947369,4.001666620373726,8.020000040531158,6
MA2151009,209,.36842105,21.48461520671844,40.0600004196167,6
MA2151013,18,0,0,0,0
MA2153000,362,.34254143,3.884939040988684,17.93799978494644,9
MA2153001,21,.14285715,1.08500000834465,2.170000016689301,3
MA2158000,1238,.5961228,19.00404432602227,48.55499982833862,11
MA2162000,299,.50836122,13.69989970326424,52.33999919891357,8
MA2162005,18,0,0,0,0
MA2162008,18,.11111111,1.814000010490417,1.814000010490417,2
MA2170000,140,0,0,0,0
MA2174000,760,.5,18.43602846562862,34.96099936962128,10
MA2175000,446,.45515695,12.74990728870034,27.5399999320507,7
MA2177000,175,.56,10.34052783250809,17.88999980688095,7
MA2179001,36,.11111111,1.524500012397766,1.560000002384186,2
MA2179002,264,.54545456,56.6094367057085,160.347000837326,14
MA2179003,22,.40909091,21.34999942779541,22.79999983310699,5
MA2179004,298,.36912751,58.22005834430456,128.7990019321442,9
MA2179005,314,.3789809,39.55499923229218,68.7900003194809,8
MA2179007,18,0,0,0,0
MA2179008,20,.25,3.399999916553497,3.439999997615814,3
MA2179011,90,.32222223,14.51879942417145,18.85999953746796,6
MA2179013,18,0,0,0,0
MA2179014,66,.45454547,17.04500007629395,19.82299989461899,6
MA2179016,53,0,0,0,0
MA2179018,18,.22222222,4.123999893665314,4.123999893665314,4
MA2179022,54,0,0,0,0
MA2179023,42,.42857143,47.45066630840302,49.98000109195709,6
MA2179024,18,.16666667,2.52700001001358,2.52700001001358,3
MA2179027,324,.33950618,23.28972233459353,31.90999960899353,8
MA2179028,18,0,0,0,0
MA2179029,18,0,0,0,0
MA2179031,32,.03125,.1465000063180923,.2930000126361847,1
MA2185000,128,.3359375,6.243254724889994,18.44699969887733,8
MA2186000,693,.47763348,32.75487580895424,159.4800007343292,10
MA2187000,887,.43855694,19.71641723997891,52.27199989557266,10
MA2187002,368,.38043478,24.78173204138875,44.52500060200691,10
MA2188004,191,.35078534,27.76215013116598,33.76699984073639,8
MA2188005,18,.11111111,2.72299998998642,2.72299998998642,2
MA2188006,18,.3888889,60.82000017166138,60.82000017166138,7
MA2188007,18,.3888889,47.71600019931793,47.71600019931793,7
MA2188008,18,.16666667,7.058999717235565,7.058999717235565,3
MA2202001,36,0,0,0,0
MA2202003,18,.11111111,1.569999992847443,1.569999992847443,2
MA2208000,512,.42382813,16.10342359542847,28.00999975204468,6
MA2208001,136,.41911766,6.202036321163177,8.974999904632568,6
MA2212000,105,.06666667,.9183333292603493,3.129999995231628,4
MA2212002,18,0,0,0,0
MA2215000,140,0,0,0,0
MA2215004,43,.39534885,8.328999906778336,11.58099979162216,7
MA2216000,259,.12741312,3.037283726036549,11.0670000910759,7
MA2216006,29,0,0,0,0
MA2216007,19,.10526316,.7229999899864197,.7779999971389771,1
MA2222001,36,0,0,0,0
MA2222002,18,0,0,0,0
MA2222003,45,.2,50.97416654229164,103.8499964475632,5
MA2222004,18,0,0,0,0
MA2222009,21,.14285715,1.072999984025955,2.14599996805191,3
MA2226000,178,.25842696,6.210081189870834,15.38399982452393,8
MA2226003,18,0,0,0,0
MA2226007,54,.074074075,1.661333352327347,2.583999991416931,2
MA2226008,106,.29245284,4.328377693891525,15.12300002574921,7
MA2226009,90,.2888889,13.04400028288364,14.99000012874603,6
MA2226011,81,.25925925,7.5438332259655,12.24199998378754,5
MA2228000,116,.060344826,7.224999785423279,15.29999995231628,3
MA2232000,945,.55661374,16.70168347842991,70.13900023698807,11
MA2235002,108,.3888889,75.39766597747803,153.7100002765656,7
MA2235004,18,0,0,0,0
MA2235006,18,.27777779,6.745000004768372,6.745000004768372,5
MA2235009,18,0,0,0,0
MA2241002,34,0,0,0,0
MA2241003,60,.1,26.70000028610229,106.8000011444092,6
MA2241006,18,.22222222,46.09999990463257,46.09999990463257,4
MA2241011,18,0,0,0,0
MA2241012,18,.27777779,8.979999899864197,8.979999899864197,5
MA2241015,90,.34444445,9.160199895501137,11.34700000286102,7
MA2241016,24,.25,10.36499989032745,11.46000003814697,4
MA2241017,92,.23913044,186.9349998235703,478.639998793602,7
MA2241018,18,0,0,0,0
MA2257000,159,.062893085,1.389999985694885,4.46000000834465,5
MA2257002,24,.25,3.762000024318695,7.52400004863739,6
MA2257003,36,0,0,0,0
MA2257005,18,0,0,0,0
MA2257007,18,.27777779,4.965000063180923,4.965000063180923,5
MA2257008,18,.11111111,2.25299996137619,2.25299996137619,2
MA2257010,88,0,0,0,0
MA2270000,473,.33403805,15.01206624507904,43.27999973297119,6
MA2270001,253,.22134387,9.836796164512634,28.39000046253204,7
