pwsid,haa5,tthm,tthm_alt,haa5_alt,combined_dbp
AK2211431,,5.8000002,5.8000002,,5.8000002
AK2211677,28,15.9,19.799999,27.75,43.900002
AK2211897,0,,,,0
AK2211952,,0,,,0
AK2212021,1.002,3.6777778,3.6777778,1.002,4.6797776
AK2212039,7.895,5.5254545,8.258769,10.316713,13.420454
AK2213556,,,,,
AK2213603,,,,,
AK2213792,,,,,
AK2213954,,,,,
AK2214219,,0,,,0
AK2214544,,,,,
AK2214730,,.83999997,.83999997,,.83999997
AK2218653,,,,,
AK2220012,,0,,,0
AK2220029,,0,,,0
AK2220037,,,,,
AK2220056,,,,,
AK2220063,,,,,
AK2220070,,,,,
AK2220084,,0,,,0
AK2220085,,0,,,0
AK2220086,37,1.255,1.255,47,38.255001
AK2220094,,,,,
AK2220118,10.566667,,,10.566667,10.566667
AK2220133,,0,,,0
AK2220134,,0,,,0
AK2220135,,,,,
AK2220138,,0,,,0
AK2220141,,,,,
AK2220146,,0,,,0
AK2220151,,,,,
AK2220153,,,,,
AK2220154,44.666668,66.199997,80.066666,30.056667,110.86667
AK2220156,,0,,,0
AK2220175,,0,,,0
AK2220215,,,,,
AK2220216,,,,,
AK2220220,,0,,,0
AK2220308,,,,,
AK2220310,,0,,,0
AK2220408,0,5.25,6.0349998,,5.25
AK2220429,52.349998,40.956669,40.956669,2.4000001,93.306671
AK2220436,,0,,,0
AK2220439,,0,,,0
AK2221834,,13.265,13.265,,13.265
AK2223023,,0,,,0
AK2223145,,0,,,0
AK2224078,75.199997,20.966667,21.4,9.5,96.166664
AK2224109,1.4,1.9100001,1.9100001,1.4,3.3099999
AK2224117,2.9000001,7.0983334,7.0983334,,9.998333
AK2224183,,.62,.62,,.62
AK2224573,,,,,
AK2224581,,,,,
AK2224646,3.9450507,10.83,7.6323333,3.9450507,14.775051
AK2224806,2.1400001,18.18,18.18,2.1400001,20.32
AK2225032,1.1333333,2.6800001,2.6800001,,3.8133335
AK2225058,,,,,
AK2225713,,,,,
AK2225819,,,,,
AK2225975,,,,,
AK2225988,,,,,
AK2225995,,,,,
AK2225999,,,,,
AK2226014,,0,,,0
AK2226017,,,,,
AK2226020,1.1,6.1666665,2.6133332,1.1,7.2666664
AK2226033,,,,,
AK2226035,,,,,
