pwsid,total_samples,total_samples_2020,detection_share,detection_share_2020,pfoa_and_pfos,pfoa_and_pfos_2020,concentration_avg,concentration_avg_2020,concentration_max,concentration_max_2020,pfas_count,pfas_count_2020
AL0000823,1,1,1,1,5,5,5,5,5,5,1,1
AL0000824,115,91,.034782607,.043956045,.47777778,.86000001,1.31527778506279,1.860000014305115,6.299999952316284,6.299999952316284,3,3
AL0000825,1,1,1,1,2,2,2,2,2,2,1,1
AL0000826,1,1,1,1,,,2.400000095367432,2.400000095367432,2.400000095367432,2.400000095367432,1,1
AL0000827,1,1,1,1,1.8,1.8,1.799999952316284,1.799999952316284,1.799999952316284,1.799999952316284,1,1
AL0000828,1,1,1,1,,,2.5,2.5,2.5,2.5,1,1
AL0000831,4,4,1,1,14.85,14.85,20.15000009536743,20.15000009536743,21.70000028610229,21.70000028610229,3,3
AL0000833,30,6,.2,1,2.6233332,9.5499992,10.70333337783813,28.34999942779541,30.09999942779541,30.09999942779541,5,5
AL0000865,1,1,1,1,4.0999999,4.0999999,4.099999904632568,4.099999904632568,4.099999904632568,4.099999904632568,1,1
AL0000867,87,87,0,0,0,0,0,0,0,0,0,0
AL0000870,30,6,.2,1,2.4833333,7.4500003,7.223333179950714,14.75000023841858,18.10000038146973,18.10000038146973,4,4
AL0000878,31,7,.22580644,1,1.8,6.4000001,5.900000095367432,12.76666688919067,13.80000019073486,13.80000019073486,4,4
AL0000882,251,227,.11155379,.12334802,1.5748717,2.1767676,11.38426569104195,12.78616160154343,41.39999961853027,41.39999961853027,6,6
AL0000885,34,10,.29411766,1,1.1942858,3.5333333,8.310952574014664,12.2166668176651,14.10000002384186,14.10000002384186,5,5
AL0000888,30,0,0,,0,0,0,0,0,0,0,0
AL0000899,93,63,.07526882,.11111111,.60138893,1.4416666,5.812499850988388,8.041666567325592,15.39999985694885,15.39999985694885,4,4
AL0000908,47,29,0,0,0,0,0,0,0,0,0,0
AL0000924,13,13,1,1,54.900002,54.900002,72.73333406448364,72.73333406448364,86.90000009536743,86.90000009536743,3,3
AL0000926,87,87,0,0,0,0,0,0,0,0,0,0
AL0000927,1,1,1,1,5,5,5,5,5,5,1,1
AL0000929,1,1,1,1,,,4,4,4,4,1,1
AL0000930,112,112,0,0,0,0,0,0,0,0,0,0
AL0000933,33,8,.36363637,1,8.1999998,14.6,62.03666630387306,67.19999980926514,97.69999980926514,70.89999961853027,5,5
AL0000934,26,2,.07692308,1,0,0,.75,2.25,2.299999952316284,2.299999952316284,1,1
AL0000935,153,153,.10457516,.10457516,2.4833333,2.4833333,12.67380970716476,12.67380970716476,44.00000095367432,44.00000095367432,7,7
AL0000936,24,0,.083333336,,5,0,7.5,0,30,0,2,0
AL0000940,12,0,0,,0,0,0,0,0,0,0,0
AL0000943,111,87,.10810811,.13793103,1.7303572,3.7416668,16.73571416735649,19.80833321809769,47.49999952316284,47.49999952316284,9,9
AL0000945,116,116,.0086206896,.0086206896,0,0,2.075000047683716,2.075000047683716,8.300000190734863,8.300000190734863,1,1
AL0000947,29,29,.1724138,.1724138,5.5999999,5.5999999,24.60000014305115,24.60000014305115,24.60000014305115,24.60000014305115,5,5
AL0000957,58,58,0,0,0,0,0,0,0,0,0,0
AL0000967,157,145,.025477707,.027586207,0,0,6.249999940395355,6.249999940395355,22.40000009536743,22.40000009536743,2,2
AL0000983,5,5,1,1,32.25,32.25,38.94999980926514,38.94999980926514,55.69999980926514,55.69999980926514,3,3
AL0000993,87,87,0,0,0,0,0,0,0,0,0,0
AL0000994,58,58,0,0,0,0,0,0,0,0,0,0
AL0001002,86,62,0,0,0,0,0,0,0,0,0,0
AL0001005,48,24,.5,1,1.7125001,3.4250002,4.513690546154976,8.14166671037674,9.200000107288361,9.200000107288361,7,7
AL0001006,2,2,1,1,3.8,3.8,8.100000143051147,8.100000143051147,8.100000143051147,8.100000143051147,2,2
AL0001015,140,116,0,0,0,0,0,0,0,0,0,0
AL0001021,33,15,.45454547,1,12.166666,24.333332,54.41666555404663,99.88333225250244,164.1999998092651,164.1999998092651,7,7
AL0001022,12,12,1,1,38,38,156.8000001907349,156.8000001907349,156.8000001907349,156.8000001907349,12,12
AL0001037,7,7,1,1,16.34,16.34,24.84000015258789,24.84000015258789,35.5,35.5,2,2
AL0001047,9,9,1,1,17,17,25.05000019073486,25.05000019073486,26,26,4,4
AL0001056,58,58,0,0,0,0,0,0,0,0,0,0
AL0001070,215,191,0,0,0,0,0,0,0,0,0,0
AL0001073,58,58,0,0,0,0,0,0,0,0,0,0
AL0001084,121,97,.11570248,.14432989,2.4111111,4.3400002,12.53999975323677,16.03333306312561,41.10000038146973,41.10000038146973,6,6
AL0001086,24,0,0,,0,0,0,0,0,0,0,0
AL0001088,24,0,0,,0,0,0,0,0,0,0,0
AL0001092,24,0,.16666667,,70,0,77.5,0,260,0,3,0
AL0001097,41,29,0,0,0,0,0,0,0,0,0,0
AL0001100,12,0,0,,0,0,0,0,0,0,0,0
AL0001106,51,33,0,0,0,0,0,0,0,0,0,0
AL0001110,16,4,0,0,0,0,0,0,0,0,0,0
AL0001120,175,145,.0057142857,.0068965517,0,0,1.679999947547913,1.679999947547913,8.399999618530273,8.399999618530273,1,1
AL0001124,18,0,0,,0,0,0,0,0,0,0,0
AL0001127,116,116,0,0,0,0,0,0,0,0,0,0
AL0001131,6,6,1,1,6.5666666,6.5666666,9.266666650772095,9.266666650772095,12.29999995231628,12.29999995231628,3,3
AL0001142,32,8,.25,1,2.3666668,7.1000004,6.949999928474426,14.64999985694885,17.59999990463257,17.59999990463257,4,4
AL0001145,169,133,.13609467,.17293233,2.9307692,5.6285715,13.23136448860168,16.99583315849304,35.29999971389771,35.29999971389771,6,6
AL0001148,35,11,.31428573,1,2.1575,5.5749998,4.261666625738144,10.44999980926514,15.30000019073486,15.30000019073486,4,4
AL0001149,58,58,0,0,0,0,0,0,0,0,0,0
AL0001150,25,1,.039999999,1,0,0,.4199999868869781,2.099999904632568,2.099999904632568,2.099999904632568,1,1
AL0001151,12,0,0,,0,0,0,0,0,0,0,0
AL0001157,28,4,.14285715,1,1.55,4.6500001,4.75,20.64999961853027,23.09999942779541,23.09999942779541,3,3
AL0001160,7,7,1,1,9.5749998,9.5749998,15.67499971389771,15.67499971389771,20.5,20.5,2,2
AL0001163,40,16,.40000001,1,2.1946428,4.6416664,5.857142925262451,10.88333344459534,13,13,5,5
AL0001164,36,36,.19444445,.19444445,10.45,10.45,71.19999980926514,71.19999980926514,142.3999996185303,142.3999996185303,7,7
AL0001171,2,2,1,1,6.8000002,6.8000002,11.60000038146973,11.60000038146973,11.60000038146973,11.60000038146973,2,2
