pwsid,haa5,haa5_syr3,haa5_syr4,tthm,tthm_syr3,tthm_syr4,combined_dbp,combined_dbp_syr3,combined_dbp_syr4
MO2010093,38.927776,42.736362,32.942856,56.158825,52.711113,60.037498,95.086601,95.447479,92.980354
MO2010097,32.299999,0,32.299999,59.5,0,59.5,91.800003,0,91.800003
MO2010105,36.109093,55.240002,20.166666,43.091667,49.755554,23.1,79.20076,104.99556,43.266666
MO2010108,0,0,24.505001,34.599998,0,34.599998,34.599998,0,59.105
MO2010109,8.75,8.8999996,8.6000004,16.950001,19,14.9,25.700001,27.9,23.5
MO2010112,57.419998,60.922222,25.9,58.416668,59.200001,54.5,115.83667,120.12222,80.400002
MO2010125,0,0,17.549999,68.400002,0,68.400002,68.400002,0,85.949997
MO2010134,26.525,40.43,26.525,58.974998,71.549995,58.974998,85.5,111.98,85.5
MO2010140,0,2.74,1.99,45,8.3400002,45,45,11.08,46.990002
MO2010162,8.4799995,4.3699999,16.700001,0,3.9400001,0,8.4799995,8.3099995,16.700001
MO2010163,0,0,0,0,0,3.5899999,0,0,3.5899999
MO2010165,45.533333,0,45.533333,49.875,0,49.875,95.408333,0,95.408333
MO2010169,0,3.1199999,2.02,28.1,28.1,0,28.1,31.220001,2.02
MO2010201,31,0,31,84.699997,0,84.699997,115.7,0,115.7
MO2010215,22.799999,0,22.799999,67.599998,0,67.599998,90.399994,0,90.399994
MO2010224,0,0,21.5,69.099998,0,69.099998,69.099998,0,90.599998
MO2010238,49,0,49,51.712502,0,51.712502,100.7125,0,100.7125
MO2010247,13.7,0,13.7,0,0,1.09,13.7,0,14.79
MO2010268,27.075001,0,27.075001,33.5,0,33.5,60.575001,0,60.575001
MO2010271,23.129999,26.16,20.1,57.323528,59.327274,53.650002,80.453529,85.487274,73.75
MO2010288,42.433334,0,42.433334,0,0,57.59,42.433334,0,100.02333
MO2010300,0,0,51.419998,0,0,4.8800001,0,0,56.299999
MO2010305,34.400002,0,34.400002,46,0,46,80.400002,0,80.400002
MO2010308,0,4.2399998,5.8099999,38.299999,15.91,38.299999,38.299999,20.15,44.110001
MO2010312,35.5,0,35.5,0,0,9.5799999,35.5,0,45.080002
MO2010328,0,0,21.43,63.799999,0,63.799999,63.799999,0,85.229996
MO2010329,29.742857,0,29.742857,54.950001,0,54.950001,84.692856,0,84.692856
MO2010338,16.799999,0,16.799999,55.099998,0,55.099998,71.899994,0,71.899994
MO2010344,33.683334,31.066668,34.991665,91.936363,70.629997,109.69167,125.6197,101.69666,144.68333
MO2010362,32,0,32,43.525002,0,43.525002,75.525002,0,75.525002
MO2010389,23.9,0,23.9,37.900002,0,37.900002,61.800003,0,61.800003
MO2010390,0,0,34.889999,53.5,0,53.5,53.5,0,88.389999
MO2010393,32.080002,0,32.080002,52.162498,0,52.162498,84.2425,0,84.2425
MO2010414,0,0,2.96,13.8,0,13.8,13.8,0,16.76
MO2010420,20.233334,0,20.233334,41.799999,0,41.799999,62.033333,0,62.033333
MO2010429,30.864286,38.466667,25.1625,34.985001,35,34.970001,65.849289,73.466667,60.1325
MO2010436,48.720001,0,48.720001,48.25,0,48.25,96.970001,0,96.970001
MO2010437,24.75,0,24.75,33.799999,0,33.799999,58.549999,0,58.549999
MO2010438,0,0,0,0,6.3200002,4.8599997,0,6.3200002,4.8599997
MO2010440,27.766666,14.65,27.766666,70.349998,3.325,70.349998,98.116669,17.975,98.116669
MO2010450,23.040001,0,23.040001,50.012501,0,50.012501,73.052505,0,73.052505
MO2010451,0,36.700001,17.413334,0,0,24.294998,0,36.700001,41.708332
MO2010452,0,0,34.07,51.5,0,51.5,51.5,0,85.57
MO2010463,45.228573,0,45.228573,63.816666,0,63.816666,109.04524,0,109.04524
MO2010472,24.1,0,24.1,31.6,0,31.6,55.700001,0,55.700001
MO2010479,34.987499,33.790001,36.983334,68.284615,61.950001,89.400002,103.27211,95.740005,126.38333
MO2010487,20.805264,22.393333,14.85,36.611111,32.099998,52.400002,57.416374,54.493332,67.25
MO2010488,30.92,0,30.92,49.200001,0,49.200001,80.120003,0,80.120003
MO2010491,18,0,18,61.200001,0,61.200001,79.199997,0,79.199997
MO2010497,30.385714,34.450001,24.966667,48.005001,49.709091,45.922222,78.390717,84.159088,70.888885
MO2010502,33.337502,23.533333,35.599998,68.422226,65.150002,69.35714,101.75973,88.683334,104.95714
MO2010506,0,0,0,0,0,0,0,0,0
MO2010512,10.566667,1.8200001,10.566667,28.65,25.200001,32.099998,39.216667,27.02,42.666664
MO2010513,33.222729,32.881817,33.563637,82.699997,89.714287,74.51667,115.92273,122.5961,108.08031
MO2010514,0,0,5.7224998,33.700001,0,33.700001,33.700001,0,39.422501
MO2010515,19.833334,0,19.833334,66.599998,0,66.599998,86.433334,0,86.433334
MO2010519,1.6,0,3.2,7.7444444,2.3483334,10.416667,9.3444443,2.3483334,13.616667
MO2010520,23.799999,0,23.799999,76.900002,0,76.900002,100.7,0,100.7
MO2010523,30.775,38.799999,22.75,49.720001,49.450001,49.900002,80.495003,88.25,72.650002
MO2010533,31.667999,41.939999,24.82,48.841667,56.099998,43.657143,80.509666,98.039993,68.477142
MO2010538,38.841175,42.369999,33.799999,30.978333,23.79143,41.040001,69.819504,66.16143,74.839996
MO2010559,31.049999,0,31.049999,34.599998,0,34.599998,65.649994,0,65.649994
MO2010566,5,10.8,5,72.260002,42.529999,72.260002,77.260002,53.329998,77.260002
MO2010569,37.52,0,37.52,80.019997,0,80.019997,117.53999,0,117.53999
MO2010574,38.299999,0,38.299999,0,0,53,38.299999,0,91.300003
MO2010578,14,3.8399999,14,31.950001,32.299999,31.6,45.950001,36.139999,45.599998
MO2010587,0,0,31.155001,39.799999,0,39.799999,39.799999,0,70.955002
MO2010623,6.6500001,6.3599997,6.6500001,17.9,15.530001,17.9,24.549999,21.889999,24.549999
MO2010624,28.625,0,28.625,48.450001,0,48.450001,77.074997,0,77.074997
MO2010635,31.5,0,31.5,38.875,0,38.875,70.375,0,70.375
MO2010664,24.9,20.799999,26.266666,66.199997,68.199997,65.699997,91.099998,89,91.96666
MO2010722,27.225,25.045,27.225,48.833332,35.599998,51.48,76.058334,60.644997,78.705002
MO2010736,48.872726,62.016666,33.099998,47.262501,53.959999,36.099998,96.135223,115.97667,69.199997
MO2010737,42.242859,0,42.242859,56.299999,0,56.299999,98.542862,0,98.542862
MO2010745,22.959999,37.599998,19.299999,69.199997,78.800003,59.599998,92.159996,116.4,78.899994
MO2010753,22.799999,0,22.799999,48.633335,0,48.633335,71.433334,0,71.433334
MO2010778,0,18.299999,0,0,0,0,0,18.299999,0
MO2010780,36.371429,0,36.371429,121.26667,0,121.26667,157.63809,0,157.63809
MO2010790,18.933332,0,18.933332,44.099998,0,44.099998,63.033333,0,63.033333
MO2010796,35.700001,42.585712,26.059999,71.633331,78.355553,61.549999,107.33333,120.94127,87.610001
MO2010804,47.015385,44.299999,50.183334,55.436844,47.125,61.481819,102.45222,91.425003,111.66515
MO2010812,44.069229,50.285713,36.816666,81.971428,86.525002,75.900002,126.04066,136.81071,112.71667
MO2010840,0,0,1.28,10.5,0,10.5,10.5,0,11.78
MO2010857,12.85,0,12.85,38.099998,0,38.099998,50.949997,0,50.949997
MO2010875,87.925003,87.925003,0,208.03999,208.03999,3.3299999,295.965,295.965,3.3299999
MO2010881,21.25,0,21.25,29.166666,0,29.166666,50.416664,0,50.416664
MO2010882,0,0,0,0,0,0,0,0,0
MO2020421,30.23,29.644444,35.5,35.037498,30.82,42.066666,65.267502,60.464443,77.566666
MO2021537,36.058334,37.122223,32.866665,42.125,44.657143,24.4,78.183334,81.779366,57.266663
MO2021598,0,0,0,0,0,2.4000001,0,0,2.4000001
