pwsid,detection_share
AK2214015,0
AK2214023,0
AK2214049,.024390243
AK2214099,.0090090092
AK2214104,.063103452
AK2214112,.015151516
AK2214138,0
AK2214219,0
AK2214227,.2195946
AK2214277,0
AK2214340,0
AK2214471,0
AK2214489,.029411765
AK2214544,0
AK2214586,.10416666
AK2214609,0
AK2214706,0
AK2214730,0
AK2214861,.03125
AK2214968,.018350931
AK2215362,0
AK2215370,0
AK2215388,.010416667
AK2215401,.011904762
AK2215435,0
AK2215443,.025641026
AK2215524,0
AK2215558,.0065789474
AK2215566,.05319149
AK2215605,.020276498
AK2215613,0
AK2215621,.044763513
AK2215663,0
AK2215867,0
AK2215922,.016666668
AK2216198,.0063492064
AK2216407,0
AK2216449,.063829787
AK2216512,0
AK2216902,0
AK2216994,0
AK2217233,0
AK2217259,.03125
AK2217267,.03809524
AK2217576,.010204081
AK2217908,.34408602
AK2218069,0
AK2218108,.0083333338
AK2218425,.0098039219
AK2218475,0
AK2218477,.014705882
AK2218478,0
AK2218516,0
AK2218538,0
AK2218544,0
AK2218551,0
AK2218554,.012195121
AK2218558,.042635661
AK2218566,0
AK2218579,0
AK2218582,0
AK2218585,0
AK2218593,.069444448
AK2218630,0
AK2218641,.01923077
AK2218642,.012820513
AK2218644,0
AK2218651,.096969694
AK2218652,0
AK2218653,0
AK2218662,0
AK2218684,0
AK2218708,.032258064
AK2218709,0
AK2218730,.005050505
AK2218731,0
AK2218735,.017349761
AK2218739,.090909094
AK2218748,.0048309178
AK2218750,0
AK2218753,0
AK2218755,.011363637
AK2218757,0
AK2218758,0
AK2218760,0
AK2218761,0
AK2218762,0
AK2218778,.028985508
AK2218781,0
AK2218783,.008547009
AK2218807,0
AK2218810,0
AK2218812,0
AK2218813,0
AK2218817,.028571429
AK2218818,0
AK2218819,0
AK2218820,0
AK2218821,0
AK2220012,0
AK2220020,0
AK2220025,.0048309178
AK2220026,.26914081
AK2220029,0
AK2220033,0
AK2220036,0
AK2220037,0
AK2220038,0
AK2220056,0
AK2220063,.11956522
AK2220064,0
AK2220070,.011329114
AK2220073,.037698414
AK2220075,0
AK2220084,0
AK2220085,.0099999998
AK2220086,0
AK2220088,0
AK2220091,.032195121
AK2220092,0
AK2220093,0
AK2220094,.015957447
AK2220095,0
AK2220096,0
AK2220097,.36842105
AK2220098,.030769231
AK2220100,.079710148
AK2220101,.2014157
AK2220117,.077777781
AK2220118,.097744361
AK2220133,0
AK2220134,.0062500001
AK2220135,.036051821
AK2220138,0
AK2220139,0
AK2220140,.013513514
AK2220141,.018691588
AK2220146,.050160397
AK2220150,.36752138
AK2220151,.010416667
AK2220153,0
AK2220154,.031084165
AK2220156,.044117648
AK2220159,0
AK2220160,.03846154
AK2220161,.010638298
AK2220162,.01754386
AK2220163,0
AK2220168,.0125
AK2220169,.013822434
AK2220170,.51020408
AK2220172,0
AK2220173,0
AK2220174,0
AK2220175,0
AK2220177,.058139537
AK2220183,.021739131
AK2220185,.090277776
AK2220187,.013157895
AK2220188,0
AK2220189,.04040404
AK2220190,0
AK2220198,.57608694
AK2220215,.018518519
AK2220216,.0070422534
AK2220220,.17291781
AK2220221,.0546875
AK2220230,0
AK2220246,.022727273
AK2220251,0
AK2220253,0
AK2220258,0
AK2220260,0
AK2220270,0
AK2220286,0
AK2220297,0
AK2220304,0
AK2220308,.0094339624
