"","PWSID","VIOLATION_CATEGORY_CODE","VIOLATION_STATUS","diff_days","total_violations"
"25233","OK5001413","MCL","Resolved",365,13
"25234","OR4190142","MCL","Resolved",29.0416666666667,3
"25235","OR4195143","MCL","Resolved",30,5
"25236","OR4195484","MCL","Resolved",91.0416666666667,9
"25237","PA2400981","MCL","Resolved",90,4
"25238","PA2450578","TT","Resolved",2295,3
"25239","PA2520463","TT","Resolved",1858,9
"25240","PA2521039","TT","Resolved",2029.95833333333,36
"25241","PA2580454","TT","Resolved",1879,10
"25242","PA2580529","TT","Resolved",2135,5
"25243","PA2580557","TT","Resolved",2646,41
"25244","PA2640487","TT","Resolved",1704.95833333333,6
"25245","PA3060364","TT","Resolved",1646.95833333333,5
"25246","PA3130324","TT","Resolved",249,9
"25247","PA3130355","TT","Resolved",1297.95833333333,32
"25248","PA3480835","MCL","Resolved",30,4
"25249","PA3486401","TT","Unaddressed",527.958333333333,2
"25250","PA4070031","TT","Resolved",30,1
"25251","PA4310333","TT","Resolved",1519,4
"25252","PA6201005","TT","Resolved",630,14
"25253","PA6330843","TT","Resolved",2047.95833333333,4
"25254","PA7360184","TT","Resolved",2743.95833333333,6
"25255","PR0003399","MCL","Resolved",30,2
"25256","RI2519422","MCL","Resolved",30,5
"25257","SC2830001","TT","Archived",30,7
"25258","SD4600159","MCL","Resolved",91.0416666666667,6
"25259","SD4600625","TT","Resolved",644,2
"25260","SD4602136","TT","Resolved",3077.95833333333,2
"25261","SD4602249","MCL","Resolved",30,3
"25262","TX0560018","MCL","Resolved",91,5
"25263","TX0620030","MCL","Archived",91.0416666666667,6
"25264","TX1260076","MCL","Resolved",29.9583333333333,13
"25265","TX1430009","TT","Resolved",2654,13
"25266","TX1520185","MCL","Resolved",91.0416666666667,30
"25267","TX1740010","MCL","Resolved",91.0416666666667,7
"25268","TX1810103","MCL","Archived",91,3
"25269","TX1820003","MCL","Resolved",90,8
"25270","TX2300003","MCL","Resolved",90,4
"25271","UTAH02004","TT","Resolved",2105,4
"25272","UTAH03117","TT","Resolved",2226,6
"25273","VA1173742","MCL","Resolved",30,4
"25274","VA3131875","MCL","Resolved",29.0416666666667,7
"25275","WA5331500","MCL","Resolved",29,1
"25276","WA5351851","MCL","Resolved",364,1
"25277","WA53FS131","MCL","Resolved",30,1
"25278","WI1280451","MCL","Archived",364,9
"25279","WI1540124","MCL","Resolved",29,5
"25280","WI2650252","MCL","Resolved",29,5
"25281","WI6120269","MCL","Resolved",29.9583333333333,5
"25282","WI6490275","MCL","Resolved",30,10
"25283","WI6560129","TT","Resolved",2377.95833333333,15
