pwsid,total_samples,detection_share,pfas_count,concentration_sum,detection,max
CA1500458,24,.25,6,71.09999990463257,1,24
CA1500561,108,.0648148148148148,2,8.099999904632568,1,4.1999998
CA1510001,72,0,0,0,0,0
CA1510003,2022,.0143422354104847,4,33.69999980926514,1,16
CA1510005,156,0,0,0,0,0
CA1510006,48,0,0,0,0,0
CA1510012,84,0,0,0,0,0
CA1510013,48,0,0,0,0,0
CA1510015,465,.0021505376344086,1,4,1,4
CA1510017,120,0,0,0,0,0
CA1510018,36,0,0,0,0,0
CA1510019,72,0,0,0,0,0
CA1510021,84,0,0,0,0,0
CA1510022,12,0,0,0,0,0
CA1510026,54,0,0,0,0,0
CA1510029,144,0,0,0,0,0
CA1510031,1998,.0055055055055055,4,65.5,1,26
CA1510032,72,0,0,0,0,0
CA1510033,198,.0252525252525253,2,12.79999971389771,1,9.6999998
CA1510039,72,0,0,0,0,0
CA1510041,36,0,0,0,0,0
CA1510043,54,0,0,0,0,0
CA1510049,144,.1180555555555556,6,56.70000028610229,1,17
CA1510055,947,.0411826821541711,4,29.5,1,9.1999998
CA1510056,72,0,0,0,0,0
CA1510701,106,0,0,0,0,0
CA1510702,12,0,0,0,0,0
CA1600011,12,0,0,0,0,0
CA1610002,159,0,0,0,0,0
CA1610003,120,0,0,0,0,0
CA1610004,12,0,0,0,0,0
CA1610005,48,0,0,0,0,0
CA1610700,24,0,0,0,0,0
CA1710004,29,0,0,0,0,0
CA1710005,36,0,0,0,0,0
CA1710006,53,0,0,0,0,0
CA1805004,24,0,0,0,0,0
CA1810001,56,0,0,0,0,0
CA1810003,112,.0178571428571429,1,86,1,86
CA1810700,46,.3695652173913043,4,157,1,100
CA1900038,54,.0185185185185185,1,6.599999904632568,1,6.5999999
CA1900046,36,.1666666666666667,3,13.29999995231628,1,5.3000002
CA1907032,36,0,0,0,0,0
CA1910001,84,0,0,0,0,0
CA1910002,126,.0158730158730159,1,2.200000047683716,1,2.2
CA1910003,182,.043956043956044,3,15.30000042915344,1,8.1000004
CA1910004,89,.0224719101123595,2,.014299999922514,1,.011
CA1910005,36,0,0,0,0,0
CA1910007,132,0,0,0,0,0
CA1910009,388,.0927835051546392,6,26.59999990463257,1,7.5999999
CA1910010,36,0,0,0,0,0
CA1910011,66,0,0,0,0,0
CA1910013,201,.0895522388059701,5,33.99999976158142,1,18
